unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HJXXIII;setembro;2021;VIII;> 34;85,00;0;0;0,00
HJXXIII;outubro;2021;I;0 a 4;4,00;8;0;0,32
HJXXIII;outubro;2021;II;5 a 9;8,00;21;1;1,68
HJXXIII;outubro;2021;III;10 a 14;15,00;35;3;5,25
HJXXIII;outubro;2021;IV;15 a 19;25,00;37;6;9,25
HJXXIII;outubro;2021;V;20 a 24;40,00;21;2;8,40
HJXXIII;outubro;2021;VI;25 a 29;55,00;11;6;6,05
HJXXIII;outubro;2021;VII;30 a 34;75,00;1;1;0,75
HJXXIII;outubro;2021;VIII;> 34;85,00;3;3;2,55
HJXXIII;novembro;2021;I;0 a 4;4,00;10;0;0,40
HJXXIII;novembro;2021;II;5 a 9;8,00;27;0;2,16
HJXXIII;novembro;2021;III;10 a 14;15,00;34;2;5,10
HJXXIII;novembro;2021;IV;15 a 19;25,00;34;3;8,50
HJXXIII;novembro;2021;V;20 a 24;40,00;13;3;5,20
HJXXIII;novembro;2021;VI;25 a 29;55,00;11;5;6,05
HJXXIII;novembro;2021;VII;30 a 34;75,00;1;0;0,75
HJXXIII;novembro;2021;VIII;> 34;85,00;2;1;1,70
HJXXIII;dezembro;2021;I;0 a 4;4,00;11;0;0,44
HJXXIII;dezembro;2021;II;5 a 9;8,00;25;1;2,00
HJXXIII;dezembro;2021;III;10 a 14;15,00;38;1;5,70
HJXXIII;dezembro;2021;IV;15 a 19;25,00;40;6;10,00
HJXXIII;dezembro;2021;V;20 a 24;40,00;17;6;6,80
HJXXIII;dezembro;2021;VI;25 a 29;55,00;4;3;2,20
HJXXIII;dezembro;2021;VII;30 a 34;75,00;3;2;2,25
HJXXIII;dezembro;2021;VIII;> 34;85,00;1;1;0,85
HEM;janeiro;2021;I;0 a 4;4,00;0;0;0,00
HEM;janeiro;2021;II;5 a 9;8,00;8;2;0,64
HEM;janeiro;2021;III;10 a 14;15,00;22;7;3,30
HEM;janeiro;2021;IV;15 a 19;25,00;11;6;2,75
HEM;janeiro;2021;V;20 a 24;40,00;16;7;6,40
HEM;janeiro;2021;VI;25 a 29;55,00;8;5;4,40
HEM;janeiro;2021;VII;30 a 34;75,00;8;6;6,00
HEM;janeiro;2021;VIII;> 34;85,00;7;7;5,95
HEM;fevereiro;2021;I;0 a 4;4,00;1;0;0,04
HEM;fevereiro;2021;II;5 a 9;8,00;10;0;0,80
HEM;fevereiro;2021;III;10 a 14;15,00;19;3;2,85
HEM;fevereiro;2021;IV;15 a 19;25,00;9;4;2,25
HEM;fevereiro;2021;V;20 a 24;40,00;7;1;2,80
HEM;fevereiro;2021;VI;25 a 29;55,00;6;3;3,30
HEM;fevereiro;2021;VII;30 a 34;75,00;7;4;5,25
HEM;fevereiro;2021;VIII;> 34;85,00;3;2;2,55
HEM;março;2021;I;0 a 4;4,00;0;0;0,00
HEM;março;2021;II;5 a 9;8,00;11;2;0,88
HEM;março;2021;III;10 a 14;15,00;35;9;5,25
HEM;março;2021;IV;15 a 19;25,00;14;6;3,50
HEM;março;2021;V;20 a 24;40,00;17;10;6,80
HEM;março;2021;VI;25 a 29;55,00;16;9;8,80
HEM;março;2021;VII;30 a 34;75,00;6;3;4,50
HEM;março;2021;VIII;> 34;85,00;8;4;6,80
HEM;abril;2021;I;0 a 4;4,00;0;0;0,00
HEM;abril;2021;II;5 a 9;8,00;1;1;0,08
HEM;abril;2021;III;10 a 14;15,00;9;6;1,35
HEM;abril;2021;IV;15 a 19;25,00;25;13;6,25
HEM;abril;2021;V;20 a 24;40,00;25;12;10,00
HEM;abril;2021;VI;25 a 29;55,00;13;9;7,15
HEM;abril;2021;VII;30 a 34;75,00;2;2;1,50
HEM;abril;2021;VIII;> 34;85,00;9;7;7,65
HEM;maio;2021;I;0 a 4;4,00;0;0;0,00
HEM;maio;2021;II;5 a 9;8,00;3;0;0,24
HEM;maio;2021;III;10 a 14;15,00;17;7;2,55
HEM;maio;2021;IV;15 a 19;25,00;19;8;4,75
HEM;maio;2021;V;20 a 24;40,00;14;4;5,60
HEM;maio;2021;VI;25 a 29;55,00;7;4;3,85
HEM;maio;2021;VII;30 a 34;75,00;3;2;2,25
HEM;maio;2021;VIII;> 34;85,00;3;3;2,55
HEM;junho;2021;I;0 a 4;4,00;0;0;0,00
HEM;junho;2021;II;5 a 9;8,00;1;0;0,08
HEM;junho;2021;III;10 a 14;15,00;17;7;2,55
HEM;junho;2021;IV;15 a 19;25,00;26;8;6,50
HEM;junho;2021;V;20 a 24;40,00;12;1;4,80
HEM;junho;2021;VI;25 a 29;55,00;9;2;4,95
HEM;junho;2021;VII;30 a 34;75,00;3;2;2,25
HEM;junho;2021;VIII;> 34;85,00;1;1;0,85
HEM;julho;2021;I;0 a 4;4,00;1;0;0,04
HEM;julho;2021;II;5 a 9;8,00;9;2;0,72
HEM;julho;2021;III;10 a 14;15,00;20;0;3,00
HEM;julho;2021;IV;15 a 19;25,00;17;5;4,25
HEM;julho;2021;V;20 a 24;40,00;16;4;6,40
HEM;julho;2021;VI;25 a 29;55,00;10;4;5,50
HEM;julho;2021;VII;30 a 34;75,00;3;2;2,25
HEM;julho;2021;VIII;> 34;85,00;2;2;1,70
HEM;agosto;2021;I;0 a 4;4,00;0;0;0,00
HEM;agosto;2021;II;5 a 9;8,00;7;1;0,56
HEM;agosto;2021;III;10 a 14;15,00;12;0;1,80
HEM;agosto;2021;IV;15 a 19;25,00;13;1;3,25
HEM;agosto;2021;V;20 a 24;40,00;14;3;5,60
HEM;agosto;2021;VI;25 a 29;55,00;10;2;5,50
HEM;agosto;2021;VII;30 a 34;75,00;6;4;4,50
HEM;agosto;2021;VIII;> 34;85,00;1;0;0,85
HEM;setembro;2021;I;0 a 4;4,00;0;0;0,00
HEM;setembro;2021;II;5 a 9;8,00;1;0;0,08
HEM;setembro;2021;III;10 a 14;15,00;6;0;0,90
HEM;setembro;2021;IV;15 a 19;25,00;14;0;3,50
HEM;setembro;2021;V;20 a 24;40,00;7;0;2,80
HEM;setembro;2021;VI;25 a 29;55,00;4;2;2,20
HEM;setembro;2021;VII;30 a 34;75,00;3;2;2,25
HEM;setembro;2021;VIII;> 34;85,00;2;1;1,70
HEM;outubro;2021;I;0 a 4;4,00;0;0;0,00
HEM;outubro;2021;II;5 a 9;8,00;3;0;0,24
HEM;outubro;2021;III;10 a 14;15,00;3;0;0,45
HEM;outubro;2021;IV;15 a 19;25,00;20;2;5,00
HEM;outubro;2021;V;20 a 24;40,00;13;4;5,20
HEM;outubro;2021;VI;25 a 29;55,00;2;1;1,10
HEM;outubro;2021;VII;30 a 34;75,00;1;1;0,75
HEM;outubro;2021;VIII;> 34;85,00;4;3;3,40
HEM;novembro;2021;I;0 a 4;4,00;0;0;0,00
HEM;novembro;2021;II;5 a 9;8,00;3;0;0,24
HEM;novembro;2021;III;10 a 14;15,00;7;0;1,05
HEM;novembro;2021;IV;15 a 19;25,00;22;5;5,50
HEM;novembro;2021;V;20 a 24;40,00;9;0;3,60
HEM;novembro;2021;VI;25 a 29;55,00;6;3;3,30
